,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker
344,4,12,4,0,682,2,4,4,2,1,3,3,51,3,2,2,3,2,2,2
741,4,12,2,3,3059,4,4,2,1,1,4,1,61,3,2,1,2,2,1,2
453,2,24,4,6,5743,1,2,2,2,1,4,4,24,3,3,2,3,2,2,2
646,4,24,4,3,2223,2,5,4,3,1,4,2,52,1,2,2,3,2,1,2
830,2,36,0,3,3804,1,3,4,2,1,1,3,42,3,2,1,3,2,2,2
155,4,24,4,3,2684,1,3,4,3,1,2,1,35,3,2,2,2,2,1,2
487,2,18,4,2,3612,1,5,3,2,1,4,2,37,3,2,1,3,2,2,1
597,1,21,4,0,571,1,5,4,3,1,4,1,65,3,2,2,3,2,1,2
988,1,18,2,0,976,1,2,1,2,1,2,3,23,3,2,1,2,2,1,2
125,4,24,4,3,5103,1,2,3,4,1,3,4,47,3,3,3,3,2,2,2
66,4,12,2,3,3077,1,3,2,3,1,4,3,52,3,2,1,3,2,2,2
908,1,24,3,0,1333,1,1,4,3,1,2,1,43,3,3,2,3,1,1,2
511,4,6,2,6,1538,1,2,1,2,1,2,4,56,3,2,1,3,2,1,2
224,1,18,2,2,2659,4,3,4,3,1,2,3,28,3,2,1,3,2,1,2
268,4,12,4,2,1258,1,2,2,2,1,4,2,22,3,1,2,2,2,1,2
161,3,24,4,9,1275,4,3,2,1,1,4,1,36,3,2,2,3,2,2,2
813,1,18,2,3,3190,1,3,2,2,1,2,1,24,3,2,1,3,2,1,2
618,1,30,2,2,3108,1,2,2,1,1,4,2,31,3,2,1,2,2,1,2
676,1,9,4,3,1138,1,3,4,3,1,4,1,25,3,2,2,2,2,1,2
178,4,18,2,9,1950,1,4,4,3,1,1,3,34,2,2,2,3,2,2,2
950,2,45,4,3,4746,1,2,4,3,1,2,2,24,1,2,2,2,2,1,2
415,4,28,4,3,2743,1,5,4,3,1,2,3,29,3,2,2,3,2,1,2
100,4,24,4,2,3777,4,3,4,3,1,4,1,40,3,2,1,3,2,2,2
733,1,15,2,0,2511,1,1,1,2,1,4,3,23,3,1,1,3,2,1,2
689,1,24,2,3,1282,2,3,4,2,1,2,3,32,3,2,1,2,2,1,2
229,2,48,1,9,3566,2,4,4,3,1,2,3,30,3,2,1,3,2,1,2
334,4,24,3,0,717,5,5,4,4,1,4,3,54,3,2,2,3,2,2,2
627,4,18,4,3,1582,4,5,4,3,1,4,3,46,3,2,2,3,2,1,2
702,1,18,3,6,8471,5,3,1,2,1,2,3,23,3,1,2,3,2,2,2
878,1,9,2,3,1366,1,2,3,2,1,4,2,22,3,1,1,3,2,1,2
482,4,24,3,9,3863,1,3,1,3,1,2,4,32,3,3,1,3,2,1,2
919,1,48,4,1,6331,1,5,4,3,1,4,4,46,3,3,2,3,2,2,2
220,1,18,1,3,1940,1,2,3,3,2,4,4,36,1,3,1,4,2,2,2
391,3,12,4,0,1480,3,1,2,3,1,4,4,66,1,3,3,1,2,1,2
912,1,42,3,3,4370,1,4,3,3,1,2,2,26,1,2,2,3,1,2,2
427,2,9,4,6,1501,1,5,2,2,1,3,3,34,3,2,2,4,2,2,2
309,4,54,0,1,9436,5,3,2,3,1,2,2,39,3,2,1,2,1,1,2
775,1,36,2,0,1842,1,2,4,2,1,4,3,34,3,2,1,3,2,2,2
885,2,48,2,0,6560,2,4,3,3,1,2,2,24,3,2,1,3,2,1,2
15,1,6,2,3,2647,3,3,2,3,1,3,1,44,3,1,1,3,1,1,2
493,4,24,4,3,2611,1,5,4,4,2,3,1,46,3,2,2,3,2,1,2
245,4,24,2,1,3488,2,4,3,2,1,4,3,23,3,2,1,3,2,1,2
898,2,27,2,9,3915,1,3,4,3,1,2,3,36,3,2,1,3,1,2,2
6,1,8,4,0,3398,1,4,1,3,1,4,1,39,3,2,2,2,2,1,1
613,1,15,2,2,1845,1,2,4,2,3,1,2,46,3,1,1,3,2,1,2
533,1,18,4,3,1880,1,4,4,4,1,1,2,32,3,2,2,4,2,2,2
397,4,12,2,3,707,1,3,4,3,1,2,1,30,1,2,2,3,2,1,2
721,3,15,2,6,1905,1,5,4,3,1,4,3,40,3,1,1,4,2,2,2
858,1,42,2,3,3965,1,2,4,3,1,3,3,34,3,2,1,3,2,1,2
691,1,12,2,0,1168,1,3,4,4,1,3,1,27,3,2,1,2,2,1,2
104,4,24,4,3,1851,1,4,4,4,3,2,3,33,3,2,2,3,2,2,2
303,4,9,4,3,3074,5,3,1,3,1,2,1,33,3,2,2,3,1,1,2
549,4,12,4,2,1402,3,4,3,2,1,4,3,37,3,1,1,3,2,2,2
729,2,60,3,3,9157,5,3,2,3,1,2,4,27,3,3,1,4,2,1,2
208,2,48,1,0,12169,5,1,4,3,2,4,4,36,3,3,1,4,2,2,2
302,3,24,2,2,3749,1,2,2,2,1,4,3,26,3,2,1,3,2,1,2
51,3,36,2,3,3919,1,3,2,3,1,2,1,23,3,2,1,3,2,2,2
90,2,12,4,0,1995,2,2,4,3,1,1,3,27,3,2,1,3,2,1,2
354,4,6,2,3,1346,2,5,2,3,1,4,4,42,1,3,1,3,1,2,2
632,1,24,2,2,4169,1,3,4,3,1,4,2,28,3,2,1,3,2,1,2
460,2,20,2,1,6468,5,1,1,1,1,4,1,60,3,2,1,4,2,2,2
22,2,36,2,5,2384,1,2,4,3,1,1,4,33,3,1,1,2,2,1,2
374,4,21,3,2,1591,2,4,4,3,1,3,1,34,3,2,2,4,2,1,2
546,2,30,2,3,1715,5,3,4,2,1,1,3,26,3,2,1,3,2,1,2
439,2,18,4,9,3590,1,1,3,4,1,3,3,40,3,2,3,1,1,2,2
218,1,47,2,0,10722,1,2,1,2,1,1,1,35,3,2,1,2,2,2,2
737,4,18,4,3,1149,4,3,4,3,1,3,1,46,3,2,2,3,2,1,2
505,4,6,4,3,1740,1,5,2,4,1,2,1,30,3,1,2,3,2,1,2
605,1,15,4,2,975,1,3,2,1,1,3,2,25,3,2,2,3,2,1,2
801,1,24,2,0,1285,5,4,4,2,1,4,4,32,3,1,1,3,2,1,2
948,1,18,1,0,1442,1,4,4,3,1,4,4,32,1,3,2,2,1,1,2
683,2,15,4,3,1537,5,5,4,3,3,4,1,50,3,2,2,3,2,2,2
205,2,18,2,9,4439,1,5,1,3,2,1,1,33,1,2,1,4,2,2,2
647,4,48,3,3,7238,5,5,3,3,1,3,3,32,1,2,2,3,1,1,2
190,4,24,2,3,1901,2,3,4,3,1,4,3,29,3,1,1,4,2,2,2
361,1,12,2,2,1858,1,2,4,2,1,1,3,22,3,1,1,3,2,1,2
664,1,8,4,0,713,1,5,4,3,1,4,1,47,3,2,2,2,2,1,2
375,1,27,2,3,3416,1,3,3,3,1,2,3,27,3,2,1,4,2,1,2
631,1,42,2,2,7882,1,4,2,3,3,4,2,45,3,3,1,3,1,1,2
185,4,36,2,9,5742,2,4,2,3,1,2,3,31,3,2,2,3,2,2,2
732,4,15,4,1,3368,4,5,3,3,1,4,4,23,3,1,2,3,2,2,2
404,4,18,2,3,4594,1,2,3,3,1,2,3,32,3,2,1,3,2,2,2
194,4,12,2,3,1262,1,3,3,3,1,2,3,25,3,2,1,3,2,1,2
564,4,30,3,9,4272,2,3,2,3,1,2,2,26,3,2,2,2,2,1,2
401,2,12,2,9,1037,2,4,3,3,1,4,1,39,3,2,1,2,2,1,2
530,4,4,4,3,1503,1,4,2,3,1,1,1,42,3,2,2,2,1,1,2
656,2,24,4,3,1216,2,2,4,3,1,4,4,38,1,2,2,3,1,1,2
441,4,27,3,9,5117,1,4,3,3,1,4,3,26,3,2,2,3,2,1,2
132,3,6,2,2,2116,1,3,2,3,1,2,1,41,3,2,1,3,2,2,2
233,1,30,2,1,3857,1,3,4,1,1,4,2,40,3,2,1,4,2,2,2
173,4,24,2,3,1552,1,4,3,3,1,1,3,32,1,2,1,3,1,1,2
428,1,12,2,6,1200,5,3,4,2,1,4,2,23,1,1,1,3,2,2,2
567,4,6,4,0,362,2,3,4,2,1,4,3,52,3,2,2,2,2,1,2
967,1,18,2,3,1345,1,3,4,4,1,3,1,26,3,2,1,3,2,1,2
758,2,30,2,0,2150,1,3,4,2,3,2,4,24,1,2,1,3,2,1,2
626,4,12,2,0,2859,5,1,4,3,1,4,4,38,3,2,1,4,2,2,2
96,2,12,4,3,3573,1,3,1,2,1,1,1,23,3,2,1,2,2,1,2
781,1,24,3,3,1024,1,2,4,4,1,4,1,48,2,2,1,3,2,1,2
499,1,12,2,3,1680,3,5,3,4,1,1,1,35,3,2,1,3,2,1,2
74,3,12,2,3,3399,5,5,2,3,1,3,3,37,3,2,1,4,2,1,2
89,2,24,3,0,1965,5,3,4,2,1,4,3,42,3,1,2,3,2,2,2
609,2,24,2,2,3069,2,5,4,3,1,4,4,30,3,3,1,3,2,1,2
0,1,18,4,2,1049,1,2,4,2,1,4,2,21,3,1,1,3,2,1,2
392,3,6,4,6,1047,1,3,2,2,1,4,2,50,3,2,1,2,2,1,2
476,4,18,2,2,3422,1,5,4,3,1,4,2,47,1,2,3,3,1,2,2
799,3,24,2,0,947,1,4,4,3,1,3,4,38,1,3,1,3,1,1,2
519,4,36,4,2,7127,1,2,2,2,1,4,2,23,3,1,2,3,2,2,2
107,4,18,2,3,1473,1,2,3,4,1,4,1,39,3,2,1,3,2,2,2
708,1,48,1,9,7685,1,4,2,2,3,4,3,37,3,1,1,3,2,1,2
634,1,36,2,0,3249,1,4,2,3,1,4,4,39,1,3,1,4,1,2,2
223,4,27,3,1,8613,4,3,2,3,1,2,3,27,3,2,2,3,2,1,2
327,3,6,4,0,1343,1,5,1,3,1,4,1,46,3,2,2,3,1,1,1
102,2,24,3,9,4712,5,3,4,3,1,2,2,34,1,2,2,4,2,2,2
704,1,6,4,3,1169,5,5,4,3,1,4,1,67,3,2,2,3,2,2,2
475,4,24,2,8,937,1,2,4,4,1,3,3,27,3,2,2,2,2,1,2
213,3,6,4,0,1299,1,3,1,3,1,1,1,74,3,2,3,1,1,1,1
135,4,6,2,2,1543,4,3,4,1,1,2,1,33,3,2,1,3,2,1,2
246,4,18,4,3,1800,1,3,4,3,1,2,3,24,3,2,2,3,2,1,2
970,4,48,2,9,4844,1,1,3,3,1,2,3,33,3,1,1,4,2,2,2
891,1,36,4,1,9629,1,4,4,3,1,4,3,24,3,2,2,3,2,2,2
619,2,12,4,0,958,1,4,2,3,1,3,1,47,3,2,2,2,1,1,2
815,4,18,3,2,1808,1,4,4,2,1,1,1,22,3,2,1,3,2,1,2
365,4,12,0,2,2759,1,5,2,3,1,4,2,34,3,2,2,3,2,1,2
812,4,18,2,5,1943,1,2,4,2,1,4,1,23,3,2,1,3,2,1,2
26,1,12,2,2,652,1,5,4,2,1,4,2,24,3,1,1,3,2,1,2
642,1,24,4,1,6419,1,5,2,2,1,4,4,44,3,3,2,4,1,2,2
417,4,24,4,1,5804,4,3,4,3,1,2,1,27,3,2,2,3,2,1,2
907,1,30,2,2,2406,1,4,4,2,1,4,1,23,3,1,1,3,2,1,2
921,1,12,1,0,697,1,2,4,3,1,2,3,46,1,2,2,3,2,2,2
3,1,12,4,0,2122,1,3,3,3,1,2,1,39,3,1,2,2,1,1,1
134,4,10,2,0,1364,1,3,2,2,1,4,3,64,3,2,1,3,2,2,2
355,4,36,4,1,10477,5,5,2,3,1,4,4,42,3,3,2,3,2,1,2
877,1,48,2,3,6758,1,3,3,2,1,2,3,31,3,2,1,3,2,2,2
768,2,9,1,0,1437,2,4,2,3,1,3,4,29,3,2,1,3,2,1,2
836,4,18,0,9,4165,1,3,2,3,1,2,3,36,2,2,2,3,1,1,2
561,4,18,4,1,3850,1,4,3,3,1,1,3,27,3,2,2,3,2,1,2
892,2,12,2,3,1484,5,3,2,4,1,1,1,25,3,2,1,3,2,2,2
225,4,24,4,3,1516,4,3,4,2,1,1,1,43,3,2,2,2,2,1,2
820,2,48,2,3,10961,4,4,1,3,2,2,4,27,1,2,2,3,2,2,2
369,1,24,2,2,3021,1,3,2,1,1,2,1,24,3,1,1,2,2,1,2
681,2,12,2,3,1155,1,5,3,4,3,3,1,40,1,2,2,2,2,1,2
339,4,12,2,1,1413,4,4,3,3,1,2,2,55,3,2,1,3,2,1,1
419,1,15,4,2,1478,1,5,4,3,1,4,3,44,3,2,2,3,1,2,2
829,2,48,2,3,5951,1,3,2,2,1,2,1,22,3,2,1,3,2,1,2
951,3,12,4,0,939,3,4,4,4,1,2,1,28,3,2,3,3,2,2,2
454,1,14,2,0,3973,1,1,1,3,1,4,4,22,3,3,1,3,2,1,2
63,4,36,3,0,10875,1,5,2,3,1,2,3,45,3,2,2,3,1,2,2
759,2,36,4,0,2820,1,2,4,1,1,4,3,27,3,2,2,3,2,1,2
360,4,12,4,0,1255,1,5,4,3,1,4,1,61,3,2,2,2,2,1,2
237,1,24,2,3,2384,1,5,4,3,1,4,1,64,1,1,1,2,2,1,2
112,2,12,4,0,2366,3,4,3,1,1,3,3,36,3,2,1,4,2,2,2
640,1,36,4,2,2348,1,3,3,4,1,2,2,46,3,2,2,3,2,2,2
532,3,12,2,3,1881,1,3,2,2,1,2,3,44,3,1,1,2,2,2,2
126,4,15,2,4,874,5,2,4,2,1,1,1,24,3,2,1,3,2,1,2
259,4,5,2,9,3448,1,4,1,3,1,4,1,74,3,2,1,2,2,1,2
742,1,24,2,2,2996,5,3,2,4,1,4,3,20,3,2,1,3,2,1,2
761,1,18,2,3,2600,1,3,4,3,1,4,4,65,3,3,2,3,2,1,2
137,1,24,1,0,2325,2,4,2,3,1,3,3,32,1,2,1,3,2,1,2
7,1,6,4,0,1361,1,2,2,3,1,4,1,40,3,2,1,2,1,1,1
502,4,6,2,3,1595,1,4,3,3,1,2,2,51,3,2,1,3,1,1,2
831,4,36,3,3,4463,1,3,4,3,1,2,3,26,3,2,2,4,2,2,2
762,4,21,0,0,5003,5,3,1,2,1,4,2,29,1,2,2,3,2,2,2
851,1,12,1,3,626,1,3,4,2,1,4,1,24,1,2,1,2,2,1,2
407,2,9,2,9,1391,1,3,2,4,1,1,1,27,1,2,1,3,2,2,2
692,2,6,2,5,454,1,2,3,4,1,1,2,22,3,2,1,2,2,1,2
353,1,12,4,0,3499,1,3,3,2,2,2,1,29,3,2,2,3,2,1,2
153,2,24,2,0,3512,2,4,2,3,1,3,3,38,1,2,2,3,2,2,2
566,2,36,3,9,9857,2,4,1,3,1,3,2,31,3,2,2,2,1,2,2
542,2,12,2,2,1922,1,3,4,3,1,2,2,37,3,2,1,2,2,1,2
343,4,9,2,0,3577,2,3,1,3,3,2,1,26,3,1,1,3,1,1,1
887,1,36,4,6,8065,1,3,3,2,1,2,4,25,3,2,2,4,2,2,2
997,4,21,4,0,12680,5,5,4,3,1,4,4,30,3,3,1,4,2,2,2
825,2,6,3,0,1209,1,1,4,3,1,4,2,47,3,2,1,4,2,2,2
56,4,12,4,3,1655,1,5,2,3,1,4,1,63,3,2,2,2,2,2,2
400,2,27,2,9,2528,1,2,4,2,1,1,2,32,3,2,1,3,1,2,2
572,2,26,2,1,7966,1,2,2,3,1,3,3,30,3,2,2,3,2,1,2
473,4,15,2,2,2186,5,4,1,2,1,4,1,33,1,1,1,2,2,1,2
468,2,36,2,3,2323,1,4,4,3,1,4,3,24,3,1,1,3,2,1,2
651,2,6,2,3,368,5,5,4,3,1,4,2,38,3,2,1,3,2,1,2
669,2,7,2,3,2415,1,3,3,3,3,2,1,34,3,2,1,3,2,1,2
504,4,24,2,1,7814,1,4,3,3,1,3,3,38,3,2,1,4,2,2,2
900,1,24,2,0,4817,1,4,2,3,2,3,2,31,3,2,1,3,2,2,2
649,2,18,2,9,2622,2,3,4,3,1,4,3,34,3,2,1,3,2,1,2
931,1,12,2,0,1274,1,2,3,2,1,1,1,37,1,2,1,2,2,1,2
300,1,12,1,8,339,1,5,4,4,1,1,3,45,1,2,1,2,2,1,2
674,2,12,2,3,625,1,2,4,4,3,1,1,26,1,2,1,2,2,1,2
665,2,12,2,3,1092,1,3,4,2,3,4,1,49,3,2,2,3,2,2,2
570,3,12,2,0,1330,1,2,4,3,1,1,1,26,3,2,1,3,2,1,2
163,4,15,4,2,3343,1,3,4,3,1,2,4,28,3,3,1,3,2,2,2
336,1,9,4,5,1288,2,5,3,3,3,4,1,48,3,2,2,3,1,1,1
59,4,36,2,0,3079,5,3,4,3,1,4,1,36,3,2,1,3,2,1,2
821,1,36,3,6,6887,1,3,4,3,1,3,2,29,2,2,1,3,2,2,2
933,1,12,2,0,1372,1,4,2,1,1,3,3,36,3,2,1,3,2,1,2
490,4,18,2,3,2051,1,2,4,3,1,1,1,33,3,2,1,3,2,1,2
787,2,15,3,5,1512,4,3,3,4,1,3,2,61,2,2,2,3,2,1,2
449,2,9,2,3,790,3,3,4,2,1,3,1,66,3,2,1,2,2,1,2
703,1,30,2,2,3622,4,5,4,2,1,4,2,57,3,1,2,3,2,2,2
437,4,6,3,3,935,1,3,3,2,1,2,1,24,3,2,1,3,2,1,2
563,3,24,2,3,1377,2,5,4,2,1,2,4,47,3,3,1,3,2,2,2
720,2,48,3,6,6224,1,5,4,3,1,4,4,50,3,3,1,3,2,1,2
890,2,60,2,0,14027,1,4,4,3,1,2,4,27,3,2,1,4,2,2,2
219,4,10,2,0,1287,5,5,4,3,2,2,2,45,3,2,1,2,2,1,1
678,2,15,4,3,2728,5,4,4,3,3,2,1,35,1,2,3,3,2,2,2
586,1,18,4,0,5302,1,5,2,3,1,4,4,36,3,3,3,4,2,2,2
282,4,12,2,1,4675,5,2,1,2,1,4,3,20,3,1,1,3,2,1,2
348,1,12,4,0,2121,1,3,4,3,1,2,2,30,3,2,2,3,2,1,2
686,2,10,2,2,1521,1,3,4,1,1,2,3,31,3,2,1,2,2,1,2
4,1,12,4,0,2171,1,3,4,3,1,4,2,38,1,2,2,2,2,1,1
995,1,24,2,3,1987,1,3,2,3,1,4,1,21,3,1,1,2,1,1,2
463,1,28,2,0,4006,1,3,3,3,1,2,3,45,3,2,1,2,2,1,2
776,2,18,3,2,4297,1,5,4,1,1,3,4,40,3,2,1,4,2,2,2
682,2,20,3,1,7057,5,4,3,3,1,4,2,36,1,1,2,4,1,2,2
879,1,24,1,10,1358,5,5,4,3,1,3,3,40,2,2,1,4,2,2,2
517,4,36,2,6,1819,1,3,4,3,1,4,4,37,2,3,1,3,2,2,2
573,2,30,1,2,3496,4,3,4,3,1,2,3,34,2,2,1,3,1,2,2
793,1,12,2,6,795,1,2,4,2,1,4,2,53,3,2,1,3,2,1,2
893,1,18,2,2,1131,1,1,4,2,1,2,3,33,3,2,1,3,2,1,2
534,1,18,2,3,2389,1,2,4,2,1,1,3,27,2,2,1,3,2,1,2
903,1,18,2,2,4153,1,3,2,3,2,3,3,42,3,2,1,3,2,1,2
276,4,15,2,3,3568,1,5,4,2,1,2,3,54,1,1,1,4,2,2,2
284,1,21,2,3,3357,4,2,4,2,1,2,3,29,1,2,1,3,2,1,2
470,4,18,2,2,1984,1,3,4,3,1,4,4,47,1,3,2,3,2,1,2
426,2,39,3,6,11760,2,4,2,3,1,3,4,32,3,1,1,3,2,2,2
281,3,12,2,2,2251,1,3,1,2,1,2,3,46,3,2,1,2,2,1,2
120,2,36,2,3,4795,1,2,4,2,1,1,4,30,3,2,1,4,2,2,2
593,1,24,1,0,1193,1,1,1,2,2,4,4,29,3,1,2,1,2,1,2
981,4,18,3,9,2169,1,3,4,4,1,2,3,28,3,2,1,3,2,2,2
13,2,48,3,10,7582,2,1,2,3,1,4,4,31,3,2,1,4,2,2,2
655,2,18,3,9,2427,5,5,4,3,1,2,2,42,3,2,2,3,2,1,2
455,2,60,3,3,7418,5,3,1,3,1,1,1,27,3,2,1,2,2,1,2
584,1,12,2,2,7865,1,5,4,3,1,4,4,53,3,3,1,4,2,2,2
955,1,18,4,5,1190,1,1,2,2,1,4,4,55,3,3,3,1,1,1,2
160,4,12,4,3,1291,1,3,4,2,1,2,2,35,3,2,2,3,2,1,2
977,1,6,2,0,14896,1,5,1,3,1,4,4,68,1,2,1,4,2,2,2
973,1,45,0,9,11816,1,5,2,3,1,4,3,29,3,1,2,3,2,1,2
715,4,36,0,5,2613,1,3,4,3,1,2,3,27,3,2,2,3,2,1,2
744,4,30,2,1,4811,5,4,2,2,1,4,2,24,2,1,1,2,2,1,2
195,4,33,4,1,7253,1,4,3,3,1,2,3,35,3,2,2,4,2,2,2
191,2,36,2,6,3711,5,3,2,4,1,2,3,27,3,2,1,3,2,1,2
628,4,6,2,8,1238,5,1,4,3,1,4,2,36,3,2,1,4,1,2,2
536,4,4,4,0,3380,1,4,1,2,1,1,1,37,3,2,1,3,1,1,2
880,1,18,2,2,2473,1,1,4,3,1,1,3,25,3,2,1,1,2,1,2
164,3,15,2,6,392,1,2,4,2,1,4,2,23,3,1,1,3,2,2,2
106,4,12,4,9,1412,1,3,4,2,3,2,1,29,3,2,2,4,2,2,2
16,1,11,4,0,3939,1,3,1,3,1,2,1,40,3,2,2,2,1,1,2
575,2,48,0,9,12204,5,3,2,3,1,2,3,48,1,2,1,4,2,2,2
925,1,18,2,2,2039,1,3,1,2,1,4,1,20,3,1,1,3,2,1,2
712,4,36,4,9,6304,5,5,4,3,1,4,1,36,3,2,2,3,2,1,2
540,2,9,2,3,1670,1,2,4,2,1,2,3,22,3,2,1,3,2,2,2
329,4,18,4,3,6070,1,5,3,3,1,4,3,33,3,2,2,3,2,2,2
480,4,27,2,5,5190,5,5,4,3,1,4,2,48,3,2,4,3,1,2,2
498,4,12,4,0,926,1,1,1,2,1,2,2,38,3,2,1,1,2,1,2
968,1,45,2,3,1845,1,3,4,3,1,4,4,23,3,3,1,3,2,2,2
405,2,48,2,10,5381,5,1,3,3,1,4,4,40,1,3,1,1,2,2,2
743,4,30,4,1,7596,5,5,1,3,1,4,3,63,3,2,2,3,2,1,2
93,1,9,2,3,1364,1,4,3,3,1,4,1,59,3,2,1,3,2,1,2
433,2,18,4,9,1887,5,3,4,4,1,4,1,28,1,2,2,3,2,1,2
83,3,15,4,1,2360,3,3,2,3,1,2,3,36,3,2,1,3,2,2,2
843,2,24,2,10,11328,1,3,2,3,2,3,3,29,1,2,2,4,2,2,2
914,1,24,0,2,4110,1,5,3,3,1,4,4,23,1,1,2,3,1,1,2
657,2,6,2,3,753,1,3,2,2,3,3,1,64,3,2,1,3,2,1,2
414,4,12,4,3,522,3,5,4,3,1,4,2,42,3,2,2,3,1,2,2
662,2,12,3,3,585,1,3,4,4,2,4,1,20,3,1,2,3,2,1,2
978,2,12,2,2,2762,5,5,1,2,1,2,2,25,3,2,1,3,2,2,2
771,1,9,2,0,1422,1,2,3,3,1,2,4,27,3,3,1,4,2,2,2
728,4,36,4,1,11054,5,3,4,3,1,2,3,30,3,2,1,4,2,2,2
911,1,12,4,0,691,1,5,4,3,1,3,2,35,3,2,2,3,2,1,2
807,1,60,3,9,6836,1,5,3,3,1,4,4,63,3,2,2,3,2,2,2
322,4,11,2,9,2142,4,5,1,1,1,2,1,28,3,2,1,3,2,2,2
556,2,48,0,0,8358,3,2,1,2,1,1,3,30,3,2,2,3,2,1,2
357,4,10,4,0,1231,1,5,3,3,1,4,1,32,3,2,2,2,1,1,1
69,4,24,3,0,2032,1,5,4,3,1,4,4,60,3,3,2,3,2,2,2
514,4,15,2,0,3186,4,4,2,2,1,3,3,20,3,1,1,3,2,1,2
509,1,6,2,0,1203,2,5,3,3,1,2,2,43,3,2,1,3,2,2,2
340,4,30,4,3,3077,5,5,3,3,1,2,3,40,3,2,2,3,1,2,2
221,3,30,4,3,3656,5,5,4,3,1,4,2,49,2,2,2,2,2,1,2
928,1,48,2,1,10297,1,4,4,3,1,4,4,39,3,3,3,3,1,2,2
146,1,24,2,1,2964,5,5,4,3,1,4,4,49,1,3,1,3,1,2,2
289,4,15,3,3,1478,1,3,4,4,1,3,1,33,1,2,2,3,2,1,2
29,3,42,4,1,4796,1,5,4,3,1,4,4,56,3,3,1,3,2,1,2
114,2,21,2,2,3976,5,4,2,3,1,3,3,35,3,2,1,3,2,2,2
508,4,24,4,2,5150,1,5,4,3,1,4,3,33,3,2,1,3,2,2,2
810,2,48,2,9,15672,1,3,2,3,1,2,3,23,3,2,1,3,2,2,2
972,3,18,2,3,2100,1,3,4,3,2,2,1,37,3,2,1,3,2,1,2
176,4,24,4,9,4139,2,3,3,3,1,3,2,27,3,2,2,2,2,2,2
168,4,15,4,2,2788,1,4,2,2,2,3,3,24,1,2,2,3,2,1,2
347,3,10,4,0,781,1,5,4,3,1,4,4,63,3,3,2,3,2,2,2
376,1,12,0,5,1108,1,4,4,3,1,3,1,28,3,2,2,3,2,1,2
764,4,24,3,0,2538,1,5,4,3,1,4,3,47,3,2,2,2,1,1,2
871,4,36,4,0,7855,1,3,4,2,1,2,1,25,2,2,2,3,2,2,2
889,2,36,2,2,9034,2,2,4,3,2,1,4,29,3,1,1,4,2,2,2
772,1,18,2,4,1217,1,3,4,4,1,3,1,47,3,2,1,2,2,2,2
189,3,21,2,0,2923,2,3,1,2,1,1,3,28,1,2,1,4,2,2,2
136,2,12,2,0,1318,4,5,4,3,1,4,1,54,3,2,1,3,2,2,2
446,4,6,4,3,700,5,5,4,3,1,4,4,36,3,3,2,3,2,1,2
839,4,12,2,0,1386,3,3,2,2,1,2,2,26,3,2,1,3,2,1,2
254,4,36,4,1,5711,4,5,4,3,1,2,3,38,3,2,2,4,2,2,2
881,3,9,0,3,1337,1,2,4,3,1,2,3,34,3,2,2,4,2,2,2
290,4,12,4,6,3565,5,2,2,3,1,1,2,37,3,2,2,2,1,1,2
941,2,12,2,0,888,1,5,4,3,1,4,3,41,1,2,1,2,1,1,2
954,3,12,1,9,609,1,2,4,2,1,1,1,26,1,2,1,1,2,1,2
232,4,39,2,1,8588,2,5,4,3,1,2,3,45,3,2,1,4,2,2,2
645,1,36,2,10,15857,1,1,2,1,2,3,3,43,3,2,1,4,2,1,2
33,4,24,2,3,1376,3,4,4,2,1,1,3,28,3,2,1,3,2,1,2
88,1,6,4,0,666,4,4,3,2,1,4,1,39,3,2,2,2,2,2,2
44,2,18,2,6,1239,5,3,4,3,1,4,4,61,3,3,1,3,2,1,2
341,1,24,1,1,3632,1,3,1,2,3,4,3,22,1,1,1,3,2,1,1
61,4,24,2,1,2679,1,2,4,2,1,1,4,29,3,2,1,4,2,2,2
953,4,48,4,1,11590,2,3,2,2,1,4,3,24,3,1,2,2,2,1,2
199,4,48,1,9,3609,1,3,1,2,1,1,1,27,2,2,1,3,2,1,2
429,2,9,2,0,3195,5,3,1,2,1,2,1,33,3,2,1,2,2,1,2
747,4,24,4,5,5507,1,5,3,3,1,4,4,44,3,3,2,3,2,1,2
394,4,24,2,2,5511,2,3,4,3,1,1,3,25,2,2,1,3,2,1,2
730,2,42,1,1,9283,1,1,1,3,1,2,4,55,1,3,1,4,2,2,2
297,4,6,3,9,1743,2,3,1,3,1,2,1,34,3,2,2,2,2,1,2
73,4,24,2,2,929,5,4,4,3,1,2,3,31,2,2,1,3,2,2,2
393,4,15,4,3,1471,1,3,4,3,1,4,4,35,3,3,2,3,2,2,2
547,3,10,4,3,1347,5,4,4,3,1,2,2,27,3,2,2,3,2,2,2
579,1,42,2,3,7174,5,4,4,2,1,3,3,30,3,2,1,4,2,2,2
541,2,48,2,3,3979,5,4,4,3,1,1,3,41,3,2,2,3,1,2,2
854,4,18,2,2,1533,1,2,4,4,2,1,2,43,3,2,1,2,1,1,2
833,3,36,2,3,4210,1,3,4,3,1,2,3,26,3,2,1,3,2,1,2
840,1,36,2,6,1977,5,5,4,3,1,4,4,40,3,2,1,4,2,2,2
663,2,6,2,3,1068,1,5,4,3,1,4,3,28,3,2,1,3,1,1,2
